"Name-Surname","Nation","Age","Height","Position","Leg","League","xG","xA","Touches","Accurate pass per game","Tackles","Aerial duels won","Possession lost","Fouls per game","Yellow Card"
"Felipe Anderson","Brazil","31","175","ATT","R","ITA","4.31","4.69","50.9","26.9","3.7","0.4","13.3","0.8","3"
"Luca Ranieri","Italy","25","187","DEF","L","ITA","0.92","0.69","61.0","44.1","3.8","1.7","9.0","1.2","13"
"Giacomo Bonaventura","Italy","34","180","MID","R","ITA","5.58","5.31","46.9","29.4","4.0","0.5","9.4","0.6","5"
"Lucas Beltran","Argentina","23","174","ATT","R","ITA","3.70","1.88","23.1","10.9","1.5","0.7","6.4","0.8","6"
"Victor Osimhen","Nigeria","25","186","ATT","R","ITA","15.32","0.88","25.8","7.9","1.7","1.5","8.8","1.3","4"
"Stanislav Lobotka","Slovakia","29","170","MID","L","ITA","0.60","1.51","67.8","54.2","6.3","0.3","6.4","0.8","4"
"Giovanni di Lorenzo","Italy","30","182","DEF","R","ITA","3.07","5.30","87.8","54.7","3.9","0.8","14.2","0.8","6"
"Ricardo Rodriguez","Switzerland","31","180","DEF","L","ITA","0.30","1.76","54.9","38.2","3.2","1.2","8.4","0.7","4"
"Samuele Ricci","Italy","23","174","MID","R","ITA","1.29","2.42","49.5","34.1","3.9","0.6","7.4","1.2","6"
"Duvan Zapata","Colombia","33","189","ATT","R","ITA","11.08","1.56","38.6","13.6","2.4","3.7","14.3","1.4","2"
"Albert Gudmundsson","Island","26","178","ATT","R","ITA","9.34","6.19","48.1","24.0","3.8","0.1","14.2","0.8","4"
"Morten Frendrup","Denmark","23","178","MID","R","ITA","1.70","1.38","47.1","26.2","5.3","0.9","8.8","1.3","6"
"Johan Vasquez","Mexico","25","185","DEF","L","ITA","1.81","1.13","50.1","26.3","2.8","2.0","10.1","1.0","6"
"Dany Mota","Portugal","26","180","ATT","R","ITA","3.55","2.80","31.8","17.1","2.1","1.2","9.1","0.7","3"
"Matteo Pessina","Italy","27","183","MID","L","ITA","6.27","1.42","68.3","50.8","5.1","0.9","9.2","0.8","3"
"Pablo Mari ","Spain","30","191","DEF","L","ITA","0.39","0.57","59.7","45.9","2.8","1.2","5.0","1.0","7"
"Ylber Ramadani","Albania","28","185","MID","R","ITA","1.04","0.66","50.3","29.3","6.6","0.9","10.0","1.2","13"
"Nikola Krstovic","Montenegro","24","185","ATT","R","ITA","11.62","1.61","28.5","10.0","2.0","1.9","9.8","1.3","4"
"Marin Pongracic","Croatia","26","193","DEF","R","ITA","1.16","0.55","62.8","43.9","5.1","1.7","8.5","1.6","8"
"Alberto Dossena","Italy","25","195","DEF","R","ITA","2.21","1.25","51.1","29.6","5.4","3.5","8.5","1.1","5"
"Antoine Makoumbou","Congo","25","186","MID","R","ITA","0.86","0.94","46.8","36.9","5.0","0.3","6.8","0.9","3"
"Zito Luvumbo","Angola","22","171","ATT","L","ITA","3.64","2.63","25.6","7.1","2.3","0.2","10.0","1.1","5"
"Matias Soule","Argentina","21","182","ATT","L","ITA","10.29","5.30","62.7","31.6","4.9","0.3","17.7","0.4","4"
"Caleb Okoli","Italy","22","187","DEF","R","ITA","0.58","0.31","62.7","40.9","4.9","2.2","10.0","0.8","9"
"Enzo Barrenechea","Argentina","22","186","MID","L","ITA","0.60","1.10","63.5","44.7","6.4","1.5","9.0","0.9","10"
"Ondrej Duda","Slovakia","29","181","MID","R","ITA","2.23","2.85","49.3","26.8","6.1","0.2","12.1","1.7","9"
"Pawel Dawidowicz","Poland","29","188","DEF","L","ITA","0.51","0.14","52.6","34.9","5.1","2.4","7.9","1.2","5"
"Federico Bonazzoli","Italy","26","182","ATT","L","ITA","2.85","0.46","18.7","10.0","1.3","0.3","4.8","0.4","3"
"Nehuen Perez","Argentina","23","184","DEF","R","ITA","1.34","0.40","57.2","33.1","4.6","2.3","10.0","0.9","6"
"Lazar Samardzic","Serbia","22","183","MID","L","ITA","3.47","4.74","40.7","20.1","4.2","0.4","11.2","0.8","3"
"Lorenzo Lucca","Italy","23","201","ATT","R","ITA","7.78","0.65","23.7","7.3","1.9","2.7","8.9","1.3","6"
"Nicolo Cambiaghi","Italy","23","173","ATT","R","ITA","3.81","2.51","31.8","12.4","2.8","0.3","9.8","1.3","3"
"Youssef Maleh","Morocco","25","177","MID","L","ITA","1.54","1.97","42.2","23.2","5.2","0.5","9.1","1.6","11"
"Sebastian Walukiewicz","Poland","24","188","DEF","R","ITA","0.15","0.16","49.4","32.0","3.2","1.4","7.2","0.9","6"
"Andrea Pinamonti","Italy","25","185","ATT","R","ITA","8.93","2.17","28.1","11.1","1.8","2.3","9.1","0.6","4"
"Armand Lauriente","France","25","177","MID","R","ITA","5.66","3.88","40.5","16.5","3.8","0.2","13.3","0.9","5"
"Martin Erlic","Croatia","26","192","DEF","R","ITA","0.95","0.39","47.6","30.3","3.4","1.8","8.0","0.9","5"
"Lorenzo Pirola","Italy","22","185","DEF","L","ITA","0.92","0.13","49.5","32.5","3.0","2.2","7.0","1.3","4"
"Domagoj Bradaric","Croatia","24","178","MID","L","ITA","0.77","1.65","55.2","29.0","4.4","0.7","12.7","0.4","5"
"Antonio Candreva","Italy","37","180","ATT","R","ITA","4.73","4.09","50.8","28.0","2.7","0.1","13.7","0.3","5"
"Karol Linetty","Poland","29","176","MID","R","ITA","0.51","0.70","39.0","25.7","3.6","0.7","6.1","1.8","11"
"Olivier Giroud","France","37","192","ATT","L","ITA","13.49","2.30","21.9","9.6","0.9","1.7","6.6","0.9","1"
"Amir Rrahmani","Kosovo","30","190","DEF","L","ITA","2.18","0.73","83.9","67.4","4.7","2.6","8.1","0.6","5"
"Fikayo Tomori","England","26","185","DEF","R","ITA","3.60","0.24","75.0","59.5","4.1","1.1","6.2","1.0","6"
"Lucas Martinez","Argentina","28","183","DEF","R","ITA","2.71","0.97","71.6","48.5","4.9","1.8","12.3","1.3","8"
"Ederson","Brazil","24","183","MID","R","ITA","3.51","2.29","58.9","38.1","5.1","1.0","10.1","1.2","8"
"Cristiano Biraghi","Italy","31","184","DEF","L","ITA","1.60","3.67","72.2","38.1","3.4","0.3","16.8","1.6","7"
"Marcus Thuram","France","26","192","ATT","R","ITA","14.19","3.40","30.4","12.9","1.8","2.1","8.8","1.0","3"
"Khvicha Kvaratskhelia","Georgia","23","181","ATT","L","ITA","10.62","5.35","54.3","26.5","2.9","0.4","13.1","0.8","8"
"Antonio Sanabria","Paraguay","28","181","ATT","R","ITA","9.41","0.91","26.6","14.0","1.9","1.8","6.5","0.7","2"
